,NOMBRE,SUBTITULO,PRECIO,PRECIO MENSUAL,KILOMETRAJE,ANIO,TIPO DE CAJA,CILINDRAJE,COMBUSTIBLE,COLOR,ESTADO,UBICACIÓN,DIRECCIÓN,PLACA,PUERTAS,AIRBAGS,IMAGEN
60,JEEP Renegade,Sport Plus 1.8 Automatica,$74.900.000,$1.864.206,53.846 km,2019,Automática,1.800,Gasolina,Gris,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023649/2023649_14_l.jpg.do
61,KIA Rio Stylus,1.5  Mecanico,$27.900.000,$694.410,60.937 km,2015,Mecánica,1.500,Gasolina,Blanco,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2021907/2021907_12_l.jpg.do
62,Hyundai Creta,Premium 4x2,$78.990.000,$1.966.003,0 km,2022,Mecánica,1.591,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2018528/2018528_1_l.jpg.do
63,Nissan D22,2.4 4x2 DH Gasolina Aire Acondicionado,$49.900.000,$1.241.974,83.383 km,2014,Mecánica,2.400,Gasolina,Blanco,usado,Bogotá D.C.,,**3 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023458/2023458_1_l.jpg.do
64,Renault Logan,Expression ABS,$42.900.000,$1.067.749,25.131 km,2020,Automática,1.600,Gasolina,Plateado,usado,Bogotá D.C.,,**2 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2014756/2014756_1_l.jpg.do
65,Nissan D22,2.4 4x2 Cabina Doble Std DH Gasolina,$49.900.000,$1.241.974,78.287 km,2014,Mecánica,2.400,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**0 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023365/2023365_9_l.jpg.do
66,Nissan NP 300,2.4 4X2 DH,$49.900.000,$1.241.974,78.287 km,2014,Mecánica,2.400,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**0 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023363/2023363_9_l.jpg.do
67,Toyota Land Cruiser,Fzj73 Cabinado Aire Acondicionado,$130.000.000,$3.235.605,90.000 km,1987,Mecánica,4.000,Gasolina,Blanco,usado,Bogotá D.C.,Mecánica,**5 Bucaramanga,,,https://www.carroya.com/web/images/vehiculos/1957517/1957517_1_l.jpg.do
68,Chevrolet Beat,1.2 LS,$39.000.009,$970.681,50.300 km,2019,Mecánica,1.200,Gasolina,Plateado,usado,Bogotá D.C.,Mecánica,**8 Bogota,,,https://www.carroya.com/web/images/vehiculos/2015027/2015027_3_l.jpg.do
69,Nissan Versa,Sense Aut,$49.900.000,$1.241.974,30.200 km,2019,Automática,1.600,Gasolina,Beige,usado,Bogotá D.C.,Automática,**7 Bogota,,,https://www.carroya.com/web/images/vehiculos/2022151/2022151_12_l.jpg.do
70,Chevrolet Beat,1.2 LS,$39.000.000,$970.681,5.500 km,2020,Mecánica,12,Gasolina,Azul,usado,Bogotá D.C.,Mecánica,**4 Bogota,,,https://www.carroya.com/web/images/vehiculos/2014901/2014901_14_l.jpg.do
71,Mazda 3,2.0 Sedan Automatico,$85.900.000,$2.137.988,23.000 km,2020,Automática,2.000,Gasolina,Blanco,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2021481/2021481_12_l.jpg.do
72,Chevrolet Traverse,Premier 3.6 Aut.,$137.000.000,$3.409.829,19.000 km,2018,Automática,3.600,Gasolina,Plateado,usado,Bogotá D.C.,Automática,**0 Funza,,,https://www.carroya.com/web/images/vehiculos/2018426/2018426_1_l.jpg.do
73,Renault Captur,Zen,$59.990.000,$1.493.107,65.000 km,2018,Mecánica,2.000,Gasolina,Negro,usado,Bogotá D.C.,Mecánica,**2 Bogota,,,https://www.carroya.com/web/images/vehiculos/2005198/2005198_1_l.jpg.do
74,Ssangyong New Korando C,2.0 F.E. 4x2,$45.000.000,$1.120.017,110.000 km,2015,Mecánica,2.000,Gasolina,Plateado,usado,Bogotá D.C.,Mecánica,**6 Bogota,,,https://www.carroya.com/web/images/vehiculos/2017985/2017985_4_l.jpg.do
75,BMW X3,Xdrive 20d,$74.500.000,$1.854.250,103.000 km,2014,Secuencial,2.000,Diesel,Plateado,usado,Bogotá D.C.,,**6 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2019384/2019384_2_l.jpg.do
76,Volkswagen Jetta,,$74.000.000,$1.841.805,32.800 km,2020,Automática,0,Gasolina,Plateado,usado,Bogotá D.C.,,**1 Otra,,Airbags,https://www.carroya.com/web/images/vehiculos/2014574/2014574_21_l.jpg.do
77,Nissan Qashqai, Advance Connect Aut,$65.000.000,$1.617.802,66.000 km,2015,Automática,2.000,Gasolina,Azul,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2007673/2007673_1_l.jpg.do
78,Mercedes Benz Clase E,250 1.8 CGI AUT,$57.000.000,$1.418.688,59.000 km,2010,Automática,1.800,Gasolina,Plateado,usado,Bogotá D.C.,,**4 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020750/2020750_1_l.jpg.do
79,Dodge Journey,2.4 SE 7 Puestos,$51.000.000,$1.269.352,31.000 km,2014,Automática,2.400,Gasolina,Azul,usado,Bogotá D.C.,Automática,**8 Bogota,,,https://www.carroya.com/web/images/vehiculos/2021595/2021595_1_l.jpg.do
80,Toyota Land Cruiser,FZJ75 Chasis,$135.000.000,$3.360.051,182.000 km,1993,Mecánica,4.500,Gasolina,Beige,usado,Bogotá D.C.,Mecánica,**9 Bogota,,,https://www.carroya.com/web/images/vehiculos/2016831/2016831_1_l.jpg.do
81,Peugeot 307,1.6 XS 16V 5p,$14.000.000,$348.449,157.000 km,2001,Mecánica,1.600,Gasolina,Gris,usado,Quindío,,**0 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2014881/2014881_1_l.jpg.do
82,Nissan Pathfinder,Exclusive,$132.600.000,$3.300.317,40.000 km,2019,Automática,3.500,Gasolina,Rojo,usado,Bogotá D.C.,,**1 Chia,,Airbags,https://www.carroya.com/web/images/vehiculos/2015097/2015097_1_l.jpg.do
83,Renault Logan,Expression ABS,$40.500.000,$1.008.015,24.000 km,2020,Automática,1.600,Gasolina,Plateado,usado,Bogotá D.C.,,**8 Barranquilla,,Airbags,https://www.carroya.com/web/images/vehiculos/2012955/2012955_20_l.jpg.do
84,Renault Duster,2.0 4x2 Polar,$61.000.000,$1.518.245,67.000 km,2019,Mecánica,2.000,Gasolina,Gris,usado,Bogotá D.C.,,**6 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2008633/2008633_26_l.jpg.do
85,Chevrolet Corsa,1.4 Active 3 Puertas Mecanico,$13.800.000,$343.471,107.000 km,2007,Mecánica,1.400,Gasolina,Beige,usado,Bogotá D.C.,Mecánica,**4 Bogota,,,https://www.carroya.com/web/images/vehiculos/2017887/2017887_9_l.jpg.do
86,Ford Explorer,XLT 2.3 Turbo,$179.990.000,$4.479.819,0 km,2021,Automática,2.300,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2007469/2007469_16_l.jpg.do
87,Ford Bronco,1.5 Big Bend 4x4,$129.990.000,$3.235.356,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Boyacá,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2010507/2010507_8_l.jpg.do
88,Ford Escape,SE 4x2 EcoBoost ,$114.990.000,$2.862.017,0 km,2021,Automática,0,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/1989992/1989992_5_l.jpg.do
89,Volkswagen Nivus,Comfortline,$83.990.000,$2.090.449,0 km,2021,Automática,999,Gasolina,Rojo,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2012395/2012395_1_l.jpg.do
90,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2021699/2021699_17_l.jpg.do
91,Ford Escape,SE Hibrida 4x2,$124.990.000,$3.110.909,0 km,2021,CVT,2.500,Híbrido,Varios,nuevo,Boyacá,CVT,,5,,https://www.carroya.com/web/images/vehiculos/2012160/2012160_3_l.jpg.do
92,Ford Bronco,2.0 Wildtrak 4x4,$164.990.000,$4.106.480,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2008882/2008882_6_l.jpg.do
93,Renault Duster,1.3T Intens 4x4,$83.950.000,$2.089.454,0 km,2022,Mecánica,1.300,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2012021/2012021_14_l.jpg.do
94,Renault Kwid,Zen,$40.900.000,$1.017.971,0 km,2022,Mecánica,990,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,,de,https://www.carroya.com/web/images/vehiculos/2007920/2007920_21_l.jpg.do
95,Ford Bronco,2.0 Wildtrak 4x4,$164.990.000,$4.106.480,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2009784/2009784_18_l.jpg.do
96,Volkswagen Virtus,Comfortline Aut,$67.990.000,$1.692.221,0 km,2022,null,0,null,Varios,nuevo,Bogotá D.C.,null,,null,,https://www.carroya.com/web/images/vehiculos/2016647/2016647_3_l.jpg.do
97,Mazda CX-30,Prime,$84.830.000,$2.111.356,0 km,2022,Mecánica,1.998,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,null,,https://www.carroya.com/web/images/vehiculos/2007573/2007573_13_l.jpg.do
98,Ford Bronco,2.0 Wildtrak 4x4,$164.990.000,$4.106.480,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2008896/2008896_7_l.jpg.do
99,Volkswagen Polo,Comfortline 1.6 Aut,$67.990.000,$1.692.221,0 km,2022,Mecánica,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2013139/2013139_13_l.jpg.do
100,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2014151/2014151_17_l.jpg.do
101,Ford Mustang,GT Premium Fastback,$189.990.000,$4.728.712,0 km,2021,Automática,5.000,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,2,,https://www.carroya.com/web/images/vehiculos/2013101/2013101_4_l.jpg.do
102,Ford Bronco,2.0 Wildtrak 4x4,$164.990.000,$4.106.480,0 km,2021,Automática,1.500,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2013102/2013102_3_l.jpg.do
103,Chevrolet Astra,1.8 Automatico,$14.800.000,$368.361,108.137 km,2003,Automática,1.800,Gasolina,Beige,usado,Bogotá D.C.,,**1 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2004281/2004281_1_l.jpg.do
104,BMW Serie 5,530e iPerformace,$157.000.000,$3.907.615,11.427 km,2018,Automática,2.000,Híbrido,Plateado,usado,Bogotá D.C.,,**6 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2022266/2022266_10_l.jpg.do
105,Nissan Qashqai,Exclusive Aut,$82.000.000,$2.040.920,48.650 km,2018,Automática,0,Gasolina,Gris,usado,Bogotá D.C.,,**0 Otra,,Airbags,https://www.carroya.com/web/images/vehiculos/2013952/2013952_17_l.jpg.do
